,0
1219,"Jsem muž, je mi 41 let, mé vzdělání je základní + středoškolské vzdělání bez maturity. Žiji v Kraji Vysočina, v okresu Pelhřimov a obci o velikosti Méně než 1.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na plný úvazek a příjem naší domácnosti je 25.001 - 30.000 Kč. Mám spíše dobrou životní úroveň. Spíše se zajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
1220,"Jsem žena, je mi 42 let, mé vzdělání je středoškolské vzdělání s maturitou. Žiji v Praze, v okresu Praha a obci o velikosti Více než 100.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na plný úvazek a příjem naší domácnosti je 30.001 - 40.000 Kč. Mám spíše dobrou životní úroveň. Spíše se zajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
1221,"Jsem žena, je mi 31 let, mé vzdělání je základní + středoškolské vzdělání bez maturity. Žiji v Ústeckém kraji, v okresu Teplice a obci o velikosti 1.000 - 5.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na plný úvazek a příjem naší domácnosti je 20.001 - 25.000 Kč. Nemám ani dobrou, ani špatnou životní úroveň. Vůbec se nezajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
1222,"Jsem muž, je mi 42 let, mé vzdělání je vysokoškolské vzdělání. Žiji v Plzeňském kraji, v okresu Plzeň-město a obci o velikosti Více než 100.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na plný úvazek a příjem naší domácnosti je 30.001 - 40.000 Kč. Mám spíše dobrou životní úroveň. Velmi se zajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
1223,"Jsem žena, je mi 58 let, mé vzdělání je základní + středoškolské vzdělání bez maturity. Žiji v Plzeňském kraji, v okresu Plzeň-město a obci o velikosti Více než 100.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na plný úvazek a příjem naší domácnosti je Do 15.000 Kč. Nemám ani dobrou, ani špatnou životní úroveň. Velmi se zajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
1224,"Jsem muž, je mi 64 let, mé vzdělání je středoškolské vzdělání s maturitou. Žiji v Plzeňském kraji, v okresu Plzeň-jih a obci o velikosti Méně než 1.000 obyvatel. Z hlediska zaměstnání jsem důchodce a příjem naší domácnosti je 20.001 - 25.000 Kč. Nemám ani dobrou, ani špatnou životní úroveň. Spíše se zajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
1225,"Jsem žena, je mi 61 let, mé vzdělání je středoškolské vzdělání s maturitou. Žiji v Libereckém kraji, v okresu Liberec a obci o velikosti 20.001 - 100.000 obyvatel. Z hlediska zaměstnání jsem důchodce a příjem naší domácnosti je 15.001 - 20.000 Kč. Mám spíše dobrou životní úroveň. Spíše se zajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
1226,"Jsem žena, je mi 41 let, mé vzdělání je základní + středoškolské vzdělání bez maturity. Žiji v Jihomoravském kraji, v okresu Vyškov a obci o velikosti Méně než 1.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na plný úvazek a příjem naší domácnosti je 15.001 - 20.000 Kč. Mám spíše dobrou životní úroveň. Spíše se nezajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
1227,"Jsem žena, je mi 31 let, mé vzdělání je základní + středoškolské vzdělání bez maturity. Žiji v Plzeňském kraji, v okresu Plzeň-město a obci o velikosti Více než 100.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na plný úvazek a příjem naší domácnosti je 15.001 - 20.000 Kč. Nemám ani dobrou, ani špatnou životní úroveň. Vůbec se nezajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
1228,"Jsem muž, je mi 40 let, mé vzdělání je vysokoškolské vzdělání. Žiji v Praze, v okresu Praha a obci o velikosti Více než 100.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na částečný úvazek a příjem naší domácnosti je 25.001 - 30.000 Kč. Mám spíše dobrou životní úroveň. Velmi se zajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
1229,"Jsem muž, je mi 64 let, mé vzdělání je středoškolské vzdělání s maturitou. Žiji v Pardubickém kraji, v okresu Ústí nad Orlicí a obci o velikosti 5.001 - 20.000 obyvatel. Z hlediska zaměstnání jsem důchodce a příjem naší domácnosti je nan. Nemám ani dobrou, ani špatnou životní úroveň. Spíše se nezajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
1230,"Jsem muž, je mi 42 let, mé vzdělání je středoškolské vzdělání s maturitou. Žiji v Plzeňském kraji, v okresu Plzeň-město a obci o velikosti Více než 100.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na plný úvazek, podnikatel, živnostník, osvč a příjem naší domácnosti je Vice než 80.000 Kč. Mám velmi dobrou životní úroveň. Spíše se zajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
1231,"Jsem žena, je mi 27 let, mé vzdělání je středoškolské vzdělání s maturitou. Žiji v Olomouckém kraji, v okresu Olomouc a obci o velikosti Méně než 1.000 obyvatel. Z hlediska zaměstnání jsem na mateřské / rodičovské dovolené a příjem naší domácnosti je Do 15.000 Kč. Nemám ani dobrou, ani špatnou životní úroveň. Vůbec se nezajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
1232,"Jsem žena, je mi 29 let, mé vzdělání je středoškolské vzdělání s maturitou. Žiji v Praze, v okresu Praha a obci o velikosti Více než 100.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na plný úvazek a příjem naší domácnosti je 30.001 - 40.000 Kč. Mám spíše dobrou životní úroveň. Vůbec se nezajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
1233,"Jsem muž, je mi 54 let, mé vzdělání je základní + středoškolské vzdělání bez maturity. Žiji v Praze, v okresu Praha a obci o velikosti Více než 100.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na plný úvazek a příjem naší domácnosti je 30.001 - 40.000 Kč. Mám spíše dobrou životní úroveň. Vůbec se nezajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
1234,"Jsem muž, je mi 27 let, mé vzdělání je vysokoškolské vzdělání. Žiji v Středočeském kraji, v okresu Praha-východ a obci o velikosti 5.001 - 20.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na plný úvazek a příjem naší domácnosti je 40.001 - 60.000 Kč. Mám velmi dobrou životní úroveň. Spíše se zajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
1235,"Jsem muž, je mi 63 let, mé vzdělání je základní + středoškolské vzdělání bez maturity. Žiji v Moravskoslezském kraji, v okresu Frýdek-Místek a obci o velikosti 5.001 - 20.000 obyvatel. Z hlediska zaměstnání jsem podnikatel, živnostník, osvč, důchodce a příjem naší domácnosti je 30.001 - 40.000 Kč. Mám spíše dobrou životní úroveň. Spíše se zajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
1236,"Jsem muž, je mi 53 let, mé vzdělání je základní + středoškolské vzdělání bez maturity. Žiji v Kraji Vysočina, v okresu Jihlava a obci o velikosti Méně než 1.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na plný úvazek a příjem naší domácnosti je 30.001 - 40.000 Kč. Nemám ani dobrou, ani špatnou životní úroveň. Spíše se zajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
1237,"Jsem žena, je mi 61 let, mé vzdělání je základní + středoškolské vzdělání bez maturity. Žiji v Olomouckém kraji, v okresu Prostějov a obci o velikosti Méně než 1.000 obyvatel. Z hlediska zaměstnání jsem invalidní důchodce a příjem naší domácnosti je 20.001 - 25.000 Kč. Mám spíše dobrou životní úroveň. Spíše se nezajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
1238,"Jsem žena, je mi 44 let, mé vzdělání je středoškolské vzdělání s maturitou. Žiji v Královéhradeckém kraji, v okresu Hradec Králové a obci o velikosti 20.001 - 100.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na plný úvazek a příjem naší domácnosti je nan. Mám spíše dobrou životní úroveň. Vůbec se nezajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
1239,"Jsem muž, je mi 61 let, mé vzdělání je základní + středoškolské vzdělání bez maturity. Žiji v Středočeském kraji, v okresu Mělník a obci o velikosti 1.000 - 5.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na částečný úvazek, invalidní důchodce a příjem naší domácnosti je 25.001 - 30.000 Kč. Nemám ani dobrou, ani špatnou životní úroveň. Spíše se nezajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
1240,"Jsem žena, je mi 58 let, mé vzdělání je vysokoškolské vzdělání. Žiji v Středočeském kraji, v okresu Kolín a obci o velikosti 1.000 - 5.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na plný úvazek a příjem naší domácnosti je 30.001 - 40.000 Kč. Mám spíše dobrou životní úroveň. Spíše se zajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
1241,"Jsem žena, je mi 43 let, mé vzdělání je středoškolské vzdělání s maturitou. Žiji v Plzeňském kraji, v okresu Plzeň-město a obci o velikosti Více než 100.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na částečný úvazek a příjem naší domácnosti je 15.001 - 20.000 Kč. Mám spíše špatnou životní úroveň. Spíše se nezajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
1242,"Jsem žena, je mi 43 let, mé vzdělání je základní + středoškolské vzdělání bez maturity. Žiji v Moravskoslezském kraji, v okresu Ostrava-město a obci o velikosti Více než 100.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na plný úvazek a příjem naší domácnosti je 25.001 - 30.000 Kč. Nemám ani dobrou, ani špatnou životní úroveň. Vůbec se nezajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
1243,"Jsem muž, je mi 40 let, mé vzdělání je středoškolské vzdělání s maturitou. Žiji v Kraji Vysočina, v okresu Jihlava a obci o velikosti 20.001 - 100.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na plný úvazek a příjem naší domácnosti je 30.001 - 40.000 Kč. Mám velmi špatnou životní úroveň. Vůbec se nezajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
1244,"Jsem muž, je mi 42 let, mé vzdělání je vysokoškolské vzdělání. Žiji v Zlínském kraji, v okresu Zlín a obci o velikosti 20.001 - 100.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na částečný úvazek, podnikatel, živnostník, osvč a příjem naší domácnosti je 25.001 - 30.000 Kč. Mám spíše dobrou životní úroveň. Spíše se zajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
1245,"Jsem muž, je mi 31 let, mé vzdělání je vysokoškolské vzdělání. Žiji v Praze, v okresu Praha a obci o velikosti Více než 100.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na plný úvazek a příjem naší domácnosti je 30.001 - 40.000 Kč. Mám velmi dobrou životní úroveň. Vůbec se nezajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
1246,"Jsem muž, je mi 44 let, mé vzdělání je středoškolské vzdělání s maturitou. Žiji v Praze, v okresu Praha a obci o velikosti Více než 100.000 obyvatel. Z hlediska zaměstnání jsem bez zaměstnání, hledající práci a příjem naší domácnosti je Do 15.000 Kč. Mám spíše špatnou životní úroveň. Spíše se zajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
1247,"Jsem muž, je mi 27 let, mé vzdělání je základní + středoškolské vzdělání bez maturity. Žiji v Jihomoravském kraji, v okresu Brno-město a obci o velikosti Více než 100.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na plný úvazek a příjem naší domácnosti je 30.001 - 40.000 Kč. Nemám ani dobrou, ani špatnou životní úroveň. Spíše se nezajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
1248,"Jsem muž, je mi 48 let, mé vzdělání je základní + středoškolské vzdělání bez maturity. Žiji v Karlovarském kraji, v okresu Cheb a obci o velikosti Méně než 1.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na plný úvazek a příjem naší domácnosti je 60.001 - 80.000 Kč. Mám velmi dobrou životní úroveň. Velmi se zajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
1249,"Jsem muž, je mi 50 let, mé vzdělání je základní + středoškolské vzdělání bez maturity. Žiji v Ústeckém kraji, v okresu Děčín a obci o velikosti 20.001 - 100.000 obyvatel. Z hlediska zaměstnání jsem invalidní důchodce a příjem naší domácnosti je 15.001 - 20.000 Kč. Nemám ani dobrou, ani špatnou životní úroveň. Spíše se nezajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
1250,"Jsem muž, je mi 58 let, mé vzdělání je základní + středoškolské vzdělání bez maturity. Žiji v Praze, v okresu Praha a obci o velikosti Více než 100.000 obyvatel. Z hlediska zaměstnání jsem invalidní důchodce a příjem naší domácnosti je Do 15.000 Kč. Nemám ani dobrou, ani špatnou životní úroveň. Vůbec se nezajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
1251,"Jsem muž, je mi 43 let, mé vzdělání je základní + středoškolské vzdělání bez maturity. Žiji v Středočeském kraji, v okresu Praha-východ a obci o velikosti 1.000 - 5.000 obyvatel. Z hlediska zaměstnání jsem podnikatel, živnostník, osvč a příjem naší domácnosti je 25.001 - 30.000 Kč. Mám spíše dobrou životní úroveň. Spíše se zajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
1252,"Jsem muž, je mi 32 let, mé vzdělání je středoškolské vzdělání s maturitou. Žiji v Jihomoravském kraji, v okresu Brno-město a obci o velikosti Více než 100.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na plný úvazek a příjem naší domácnosti je 30.001 - 40.000 Kč. Mám spíše dobrou životní úroveň. Velmi se zajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
1253,"Jsem muž, je mi 62 let, mé vzdělání je středoškolské vzdělání s maturitou. Žiji v Středočeském kraji, v okresu Kladno a obci o velikosti Méně než 1.000 obyvatel. Z hlediska zaměstnání jsem důchodce a příjem naší domácnosti je 40.001 - 60.000 Kč. Mám spíše dobrou životní úroveň. Spíše se zajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
1254,"Jsem muž, je mi 59 let, mé vzdělání je základní + středoškolské vzdělání bez maturity. Žiji v Moravskoslezském kraji, v okresu Nový Jičín a obci o velikosti 5.001 - 20.000 obyvatel. Z hlediska zaměstnání jsem invalidní důchodce a příjem naší domácnosti je 15.001 - 20.000 Kč. Nemám ani dobrou, ani špatnou životní úroveň. Spíše se zajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
1255,"Jsem žena, je mi 40 let, mé vzdělání je základní + středoškolské vzdělání bez maturity. Žiji v Praze, v okresu Praha a obci o velikosti Více než 100.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na plný úvazek a příjem naší domácnosti je 20.001 - 25.000 Kč. Mám velmi špatnou životní úroveň. Vůbec se nezajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
1256,"Jsem žena, je mi 48 let, mé vzdělání je základní + středoškolské vzdělání bez maturity. Žiji v Pardubickém kraji, v okresu Ústí nad Orlicí a obci o velikosti 5.001 - 20.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na plný úvazek a příjem naší domácnosti je 20.001 - 25.000 Kč. Nemám ani dobrou, ani špatnou životní úroveň. Spíše se zajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
1257,"Jsem muž, je mi 48 let, mé vzdělání je středoškolské vzdělání s maturitou. Žiji v Jihočeském kraji, v okresu Tábor a obci o velikosti 20.001 - 100.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na plný úvazek a příjem naší domácnosti je 40.001 - 60.000 Kč. Nemám ani dobrou, ani špatnou životní úroveň. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
1258,"Jsem žena, je mi 60 let, mé vzdělání je vysokoškolské vzdělání. Žiji v Praze, v okresu Praha a obci o velikosti Více než 100.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na částečný úvazek a příjem naší domácnosti je nan. Mám spíše dobrou životní úroveň. Spíše se zajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
1259,"Jsem muž, je mi 43 let, mé vzdělání je středoškolské vzdělání s maturitou. Žiji v Praze, v okresu Praha a obci o velikosti Více než 100.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na plný úvazek a příjem naší domácnosti je nan. Nemám ani dobrou, ani špatnou životní úroveň. Spíše se nezajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
1260,"Jsem žena, je mi 48 let, mé vzdělání je vysokoškolské vzdělání. Žiji v Praze, v okresu Praha a obci o velikosti Více než 100.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na plný úvazek a příjem naší domácnosti je 15.001 - 20.000 Kč. Mám velmi špatnou životní úroveň. Vůbec se nezajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
1261,"Jsem žena, je mi 28 let, mé vzdělání je vysokoškolské vzdělání. Žiji v Jihomoravském kraji, v okresu Blansko a obci o velikosti 5.001 - 20.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na plný úvazek a příjem naší domácnosti je 25.001 - 30.000 Kč. Mám spíše dobrou životní úroveň. Spíše se nezajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
1262,"Jsem muž, je mi 59 let, mé vzdělání je vysokoškolské vzdělání. Žiji v Moravskoslezském kraji, v okresu Ostrava-město a obci o velikosti Více než 100.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na plný úvazek a příjem naší domácnosti je 40.001 - 60.000 Kč. Mám spíše dobrou životní úroveň. Spíše se zajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
1263,"Jsem muž, je mi 30 let, mé vzdělání je středoškolské vzdělání s maturitou. Žiji v Ústeckém kraji, v okresu Děčín a obci o velikosti 20.001 - 100.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na plný úvazek a příjem naší domácnosti je 25.001 - 30.000 Kč. Nemám ani dobrou, ani špatnou životní úroveň. Spíše se zajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
1264,"Jsem žena, je mi 57 let, mé vzdělání je vysokoškolské vzdělání. Žiji v Praze, v okresu Praha a obci o velikosti Více než 100.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na plný úvazek a příjem naší domácnosti je 40.001 - 60.000 Kč. Mám spíše dobrou životní úroveň. Vůbec se nezajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
1265,"Jsem žena, je mi 45 let, mé vzdělání je středoškolské vzdělání s maturitou. Žiji v Olomouckém kraji, v okresu Přerov a obci o velikosti Méně než 1.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na plný úvazek a příjem naší domácnosti je 30.001 - 40.000 Kč. Mám spíše dobrou životní úroveň. Spíše se nezajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
1266,"Jsem muž, je mi 44 let, mé vzdělání je vysokoškolské vzdělání. Žiji v Jihomoravském kraji, v okresu Vyškov a obci o velikosti Méně než 1.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na plný úvazek a příjem naší domácnosti je 30.001 - 40.000 Kč. Mám spíše dobrou životní úroveň. Spíše se zajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
1267,"Jsem muž, je mi 62 let, mé vzdělání je základní + středoškolské vzdělání bez maturity. Žiji v Ústeckém kraji, v okresu Ústí nad Labem a obci o velikosti 20.001 - 100.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na plný úvazek a příjem naší domácnosti je 25.001 - 30.000 Kč. Nemám ani dobrou, ani špatnou životní úroveň. Spíše se zajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
1268,"Jsem muž, je mi 58 let, mé vzdělání je středoškolské vzdělání s maturitou. Žiji v Středočeském kraji, v okresu Kolín a obci o velikosti Méně než 1.000 obyvatel. Z hlediska zaměstnání jsem invalidní důchodce a příjem naší domácnosti je 25.001 - 30.000 Kč. Nemám ani dobrou, ani špatnou životní úroveň. Velmi se zajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
1269,"Jsem žena, je mi 59 let, mé vzdělání je základní + středoškolské vzdělání bez maturity. Žiji v Ústeckém kraji, v okresu Děčín a obci o velikosti 5.001 - 20.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na plný úvazek a příjem naší domácnosti je 25.001 - 30.000 Kč. Mám spíše dobrou životní úroveň. Spíše se zajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
1270,"Jsem muž, je mi 55 let, mé vzdělání je základní + středoškolské vzdělání bez maturity. Žiji v Středočeském kraji, v okresu Mělník a obci o velikosti Méně než 1.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na částečný úvazek a příjem naší domácnosti je Do 15.000 Kč. Mám spíše špatnou životní úroveň. Spíše se nezajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
1271,"Jsem žena, je mi 58 let, mé vzdělání je základní + středoškolské vzdělání bez maturity. Žiji v Praze, v okresu Praha a obci o velikosti Více než 100.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na plný úvazek a příjem naší domácnosti je 30.001 - 40.000 Kč. Nemám ani dobrou, ani špatnou životní úroveň. Spíše se nezajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
1272,"Jsem žena, je mi 39 let, mé vzdělání je vysokoškolské vzdělání. Žiji v Královéhradeckém kraji, v okresu Jičín a obci o velikosti 1.000 - 5.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na plný úvazek a příjem naší domácnosti je 20.001 - 25.000 Kč. Nemám ani dobrou, ani špatnou životní úroveň. Velmi se zajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
1273,"Jsem muž, je mi 29 let, mé vzdělání je základní + středoškolské vzdělání bez maturity. Žiji v Praze, v okresu Praha a obci o velikosti Více než 100.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na plný úvazek a příjem naší domácnosti je 25.001 - 30.000 Kč. Mám spíše dobrou životní úroveň. Spíše se zajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
1274,"Jsem žena, je mi 40 let, mé vzdělání je základní + středoškolské vzdělání bez maturity. Žiji v Středočeském kraji, v okresu Praha-východ a obci o velikosti Méně než 1.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na plný úvazek a příjem naší domácnosti je 30.001 - 40.000 Kč. Mám spíše dobrou životní úroveň. Spíše se zajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
1275,"Jsem muž, je mi 44 let, mé vzdělání je středoškolské vzdělání s maturitou. Žiji v Pardubickém kraji, v okresu Pardubice a obci o velikosti 5.001 - 20.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na plný úvazek a příjem naší domácnosti je 40.001 - 60.000 Kč. Mám spíše dobrou životní úroveň. Spíše se zajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
1276,"Jsem žena, je mi 59 let, mé vzdělání je základní + středoškolské vzdělání bez maturity. Žiji v Praze, v okresu Praha a obci o velikosti Více než 100.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na plný úvazek a příjem naší domácnosti je 25.001 - 30.000 Kč. Mám spíše dobrou životní úroveň. Spíše se zajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
1277,"Jsem muž, je mi 57 let, mé vzdělání je základní + středoškolské vzdělání bez maturity. Žiji v Středočeském kraji, v okresu Kutná Hora a obci o velikosti Méně než 1.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na plný úvazek a příjem naší domácnosti je 15.001 - 20.000 Kč. Mám velmi dobrou životní úroveň. Spíše se nezajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
1278,"Jsem muž, je mi 59 let, mé vzdělání je středoškolské vzdělání s maturitou. Žiji v Praze, v okresu Praha a obci o velikosti Více než 100.000 obyvatel. Z hlediska zaměstnání jsem invalidní důchodce a příjem naší domácnosti je 20.001 - 25.000 Kč. Nemám ani dobrou, ani špatnou životní úroveň. Spíše se zajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
1279,"Jsem žena, je mi 29 let, mé vzdělání je středoškolské vzdělání s maturitou. Žiji v Plzeňském kraji, v okresu Rokycany a obci o velikosti Méně než 1.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na částečný úvazek a příjem naší domácnosti je 15.001 - 20.000 Kč. Mám spíše dobrou životní úroveň. Spíše se nezajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
1280,"Jsem žena, je mi 38 let, mé vzdělání je středoškolské vzdělání s maturitou. Žiji v Středočeském kraji, v okresu Mladá Boleslav a obci o velikosti 5.001 - 20.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na plný úvazek a příjem naší domácnosti je 25.001 - 30.000 Kč. Nemám ani dobrou, ani špatnou životní úroveň. Spíše se nezajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
1281,"Jsem muž, je mi 59 let, mé vzdělání je středoškolské vzdělání s maturitou. Žiji v Plzeňském kraji, v okresu Plzeň-město a obci o velikosti Více než 100.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na plný úvazek a příjem naší domácnosti je 25.001 - 30.000 Kč. Nemám ani dobrou, ani špatnou životní úroveň. Spíše se nezajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
1282,"Jsem žena, je mi 46 let, mé vzdělání je základní + středoškolské vzdělání bez maturity. Žiji v Ústeckém kraji, v okresu Chomutov a obci o velikosti 5.001 - 20.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na plný úvazek a příjem naší domácnosti je 15.001 - 20.000 Kč. Mám spíše dobrou životní úroveň. Spíše se nezajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
1283,"Jsem žena, je mi 29 let, mé vzdělání je vysokoškolské vzdělání. Žiji v Středočeském kraji, v okresu Kolín a obci o velikosti Méně než 1.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na plný úvazek a příjem naší domácnosti je 25.001 - 30.000 Kč. Mám spíše dobrou životní úroveň. Spíše se nezajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
1284,"Jsem žena, je mi 56 let, mé vzdělání je středoškolské vzdělání s maturitou. Žiji v Královéhradeckém kraji, v okresu Hradec Králové a obci o velikosti 20.001 - 100.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na plný úvazek a příjem naší domácnosti je 25.001 - 30.000 Kč. Nemám ani dobrou, ani špatnou životní úroveň. Spíše se zajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
